<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
US1.ATVI,0,20200505,093001,67.670000000,100
US1.ATVI,0,20200505,093001,67.660000000,100
US1.ATVI,0,20200505,093001,67.650000000,100
US1.ATVI,0,20200505,093001,67.710000000,100
US1.ATVI,0,20200505,093002,67.620000000,200
US1.ATVI,0,20200505,093003,67.660000000,100
US1.ATVI,0,20200505,093003,67.660000000,100
US1.ATVI,0,20200505,093003,67.670000000,100
US1.ATVI,0,20200505,093003,67.670000000,100
US1.ATVI,0,20200505,093004,67.660000000,100
US1.ATVI,0,20200505,093005,67.630000000,100
US1.ATVI,0,20200505,093005,67.640000000,200
US1.ATVI,0,20200505,093007,67.630000000,100
US1.ATVI,0,20200505,093007,67.620000000,100
US1.ATVI,0,20200505,093007,67.620000000,100
US1.ATVI,0,20200505,093008,67.660000000,100
US1.ATVI,0,20200505,093008,67.650000000,200
US1.ATVI,0,20200505,093009,67.650000000,100
US1.ATVI,0,20200505,093009,67.630000000,100
US1.ATVI,0,20200505,093009,67.630000000,100
US1.ATVI,0,20200505,093010,67.630000000,100
US1.ATVI,0,20200505,093010,67.640000000,100
US1.ATVI,0,20200505,093010,67.640000000,100
US1.ATVI,0,20200505,093010,67.640000000,100
US1.ATVI,0,20200505,093010,67.630000000,100
US1.ATVI,0,20200505,093010,67.630000000,100
US1.ATVI,0,20200505,093011,67.620000000,100
US1.ATVI,0,20200505,093011,67.610000000,100
US1.ATVI,0,20200505,093011,67.600000000,100
US1.ATVI,0,20200505,093011,67.600000000,100
US1.ATVI,0,20200505,093011,67.610000000,200
US1.ATVI,0,20200505,093012,67.610000000,200
US1.ATVI,0,20200505,093012,67.610000000,100
US1.ATVI,0,20200505,093013,67.610000000,100
US1.ATVI,0,20200505,093013,67.630000000,100
US1.ATVI,0,20200505,093013,67.610000000,100
US1.ATVI,0,20200505,093013,67.600000000,176
US1.ATVI,0,20200505,093014,67.600000000,176
US1.ATVI,0,20200505,093015,67.650000000,100
US1.ATVI,0,20200505,093017,67.590000000,100
US1.ATVI,0,20200505,093017,67.650000000,100
US1.ATVI,0,20200505,093017,67.650000000,100
US1.ATVI,0,20200505,093017,67.660000000,200
US1.ATVI,0,20200505,093017,67.650000000,200
US1.ATVI,0,20200505,093017,67.650000000,100
US1.ATVI,0,20200505,093017,67.630000000,100
US1.ATVI,0,20200505,093017,67.620000000,100
US1.ATVI,0,20200505,093017,67.620000000,100
US1.ATVI,0,20200505,093017,67.650000000,100
US1.ATVI,0,20200505,093018,67.650000000,100
US1.ATVI,0,20200505,093018,67.620000000,100
US1.ATVI,0,20200505,093018,67.610000000,162
US1.ATVI,0,20200505,093018,67.620000000,200
US1.ATVI,0,20200505,093019,67.620000000,200
US1.ATVI,0,20200505,093019,67.620000000,200
US1.ATVI,0,20200505,093019,67.650000000,101
US1.ATVI,0,20200505,093021,67.620000000,100
US1.ATVI,0,20200505,093021,67.610000000,100
US1.ATVI,0,20200505,093021,67.610000000,100
US1.ATVI,0,20200505,093021,67.640000000,200
US1.ATVI,0,20200505,093024,67.630000000,110
US1.ATVI,0,20200505,093025,67.570000000,100
US1.ATVI,0,20200505,093025,67.590000000,100
US1.ATVI,0,20200505,093025,67.600000000,100
US1.ATVI,0,20200505,093025,67.580000000,100
US1.ATVI,0,20200505,093025,67.580000000,100
US1.ATVI,0,20200505,093025,67.580000000,200
US1.ATVI,0,20200505,093026,67.570000000,200
US1.ATVI,0,20200505,093026,67.590000000,200
US1.ATVI,0,20200505,093026,67.590000000,100
US1.ATVI,0,20200505,093026,67.590000000,100
US1.ATVI,0,20200505,093026,67.590000000,200
US1.ATVI,0,20200505,093026,67.590000000,200
US1.ATVI,0,20200505,093026,67.610000000,175
US1.ATVI,0,20200505,093026,67.590000000,100
US1.ATVI,0,20200505,093026,67.580000000,100
US1.ATVI,0,20200505,093026,67.600000000,100
US1.ATVI,0,20200505,093027,67.590000000,200
US1.ATVI,0,20200505,093028,67.630000000,172
US1.ATVI,0,20200505,093028,67.640000000,101
US1.ATVI,0,20200505,093030,67.660000000,100
US1.ATVI,0,20200505,093031,67.620000000,100
US1.ATVI,0,20200505,093031,67.620000000,100
US1.ATVI,0,20200505,093031,67.620000000,200
US1.ATVI,0,20200505,093031,67.620000000,100
US1.ATVI,0,20200505,093031,67.620000000,200
US1.ATVI,0,20200505,093031,67.620000000,150
US1.ATVI,0,20200505,093032,67.650000000,200
US1.ATVI,0,20200505,093032,67.610000000,100
US1.ATVI,0,20200505,093032,67.610000000,100
US1.ATVI,0,20200505,093033,67.630000000,100
US1.ATVI,0,20200505,093033,67.630000000,100
US1.ATVI,0,20200505,093034,67.640000000,100
US1.ATVI,0,20200505,093034,67.630000000,100
US1.ATVI,0,20200505,093034,67.630000000,100
US1.ATVI,0,20200505,093034,67.630000000,100
US1.ATVI,0,20200505,093034,67.630000000,100
US1.ATVI,0,20200505,093036,67.650000000,100
US1.ATVI,0,20200505,093037,67.650000000,100
US1.ATVI,0,20200505,093051,67.590000000,100
US1.ATVI,0,20200505,093051,67.570000000,100
US1.ATVI,0,20200505,093051,67.560000000,100
US1.ATVI,0,20200505,093051,67.560000000,100
US1.ATVI,0,20200505,093051,67.530000000,200
US1.ATVI,0,20200505,093053,67.540000000,200
US1.ATVI,0,20200505,093053,67.530000000,300
US1.ATVI,0,20200505,093053,67.530000000,173
US1.ATVI,0,20200505,093053,67.530000000,127
US1.ATVI,0,20200505,093053,67.520000000,100
US1.ATVI,0,20200505,093053,67.520000000,200
US1.ATVI,0,20200505,093053,67.480000000,100
US1.ATVI,0,20200505,093053,67.480000000,100
US1.ATVI,0,20200505,093100,67.340000000,200
US1.ATVI,0,20200505,093100,67.340000000,100
US1.ATVI,0,20200505,093100,67.340000000,100
US1.ATVI,0,20200505,093100,67.300000000,100
US1.ATVI,0,20200505,093101,67.300000000,342
US1.ATVI,0,20200505,093103,67.290000000,100
US1.ATVI,0,20200505,093123,67.290000000,200
US1.ATVI,0,20200505,093126,67.250000000,100
US1.ATVI,0,20200505,093129,67.230000000,100
US1.ATVI,0,20200505,093132,67.230000000,200
US1.ATVI,0,20200505,093132,67.250000000,100
US1.ATVI,0,20200505,093135,67.230000000,100
US1.ATVI,0,20200505,093144,67.270000000,200
US1.ATVI,0,20200505,093144,67.270000000,200
US1.ATVI,0,20200505,093144,67.270000000,100
US1.ATVI,0,20200505,093144,67.270000000,100
US1.ATVI,0,20200505,093149,67.270000000,100
US1.ATVI,0,20200505,093150,67.280000000,100
US1.ATVI,0,20200505,093150,67.290000000,181
US1.ATVI,0,20200505,093153,67.320000000,200
US1.ATVI,0,20200505,093153,67.340000000,100
US1.ATVI,0,20200505,093153,67.340000000,100
US1.ATVI,0,20200505,093153,67.330000000,200
US1.ATVI,0,20200505,093154,67.360000000,100
US1.ATVI,0,20200505,093154,67.400000000,100
US1.ATVI,0,20200505,093154,67.420000000,100
US1.ATVI,0,20200505,093154,67.470000000,200
US1.ATVI,0,20200505,093154,67.470000000,100
US1.ATVI,0,20200505,093154,67.470000000,100
US1.ATVI,0,20200505,093154,67.470000000,200
US1.ATVI,0,20200505,093154,67.470000000,100
US1.ATVI,0,20200505,093154,67.470000000,100
US1.ATVI,0,20200505,093154,67.470000000,200
US1.ATVI,0,20200505,093154,67.470000000,200
US1.ATVI,0,20200505,093154,67.470000000,200
US1.ATVI,0,20200505,093154,67.470000000,100
US1.ATVI,0,20200505,093154,67.470000000,100
US1.ATVI,0,20200505,093154,67.480000000,200
US1.ATVI,0,20200505,093157,67.430000000,100
US1.ATVI,0,20200505,093206,67.310000000,100
US1.ATVI,0,20200505,093209,67.340000000,100
US1.ATVI,0,20200505,093209,67.340000000,100
US1.ATVI,0,20200505,093209,67.340000000,100
US1.ATVI,0,20200505,093209,67.340000000,100
US1.ATVI,0,20200505,093209,67.340000000,100
US1.ATVI,0,20200505,093213,67.410000000,100
US1.ATVI,0,20200505,093213,67.410000000,100
US1.ATVI,0,20200505,093216,67.430000000,100
US1.ATVI,0,20200505,093232,67.540000000,200
US1.ATVI,0,20200505,093232,67.560000000,100
US1.ATVI,0,20200505,093233,67.560000000,100
US1.ATVI,0,20200505,093233,67.560000000,200
US1.ATVI,0,20200505,093233,67.530000000,100
US1.ATVI,0,20200505,093234,67.550000000,200
US1.ATVI,0,20200505,093237,67.550000000,100
US1.ATVI,0,20200505,093239,67.555000000,100
US1.ATVI,0,20200505,093239,67.560000000,100
US1.ATVI,0,20200505,093239,67.560000000,100
US1.ATVI,0,20200505,093241,67.540000000,100
US1.ATVI,0,20200505,093245,67.520000000,100
US1.ATVI,0,20200505,093245,67.510000000,100
US1.ATVI,0,20200505,093249,67.510000000,300
US1.ATVI,0,20200505,093249,67.530000000,100
US1.ATVI,0,20200505,093250,67.510000000,200
US1.ATVI,0,20200505,093251,67.510000000,100
US1.ATVI,0,20200505,093253,67.510000000,116
US1.ATVI,0,20200505,093254,67.450000000,200
US1.ATVI,0,20200505,093259,67.480000000,100
US1.ATVI,0,20200505,093300,67.500000000,200
US1.ATVI,0,20200505,093300,67.480000000,191
US1.ATVI,0,20200505,093301,67.500000000,100
US1.ATVI,0,20200505,093304,67.485000000,200
US1.ATVI,0,20200505,093305,67.470000000,100
US1.ATVI,0,20200505,093305,67.470000000,100
US1.ATVI,0,20200505,093306,67.480000000,100
US1.ATVI,0,20200505,093306,67.470000000,200
US1.ATVI,0,20200505,093307,67.480000000,200
US1.ATVI,0,20200505,093307,67.480000000,100
US1.ATVI,0,20200505,093309,67.470000000,100
US1.ATVI,0,20200505,093310,67.480000000,600
US1.ATVI,0,20200505,093310,67.490000000,100
US1.ATVI,0,20200505,093310,67.490000000,100
US1.ATVI,0,20200505,093311,67.520000000,100
US1.ATVI,0,20200505,093323,67.510000000,100
US1.ATVI,0,20200505,093325,67.530000000,100
US1.ATVI,0,20200505,093325,67.540000000,100
US1.ATVI,0,20200505,093326,67.500000000,100
US1.ATVI,0,20200505,093326,67.500000000,100
US1.ATVI,0,20200505,093326,67.490000000,100
US1.ATVI,0,20200505,093331,67.450000000,100
US1.ATVI,0,20200505,093332,67.410000000,100
US1.ATVI,0,20200505,093336,67.390000000,100
US1.ATVI,0,20200505,093337,67.380000000,100
US1.ATVI,0,20200505,093339,67.360000000,100
US1.ATVI,0,20200505,093341,67.350000000,100
US1.ATVI,0,20200505,093341,67.350000000,100
US1.ATVI,0,20200505,093345,67.350000000,100
US1.ATVI,0,20200505,093345,67.350000000,197
US1.ATVI,0,20200505,093346,67.340000000,100
US1.ATVI,0,20200505,093346,67.340000000,100
US1.ATVI,0,20200505,093346,67.350000000,200
US1.ATVI,0,20200505,093350,67.360000000,100
US1.ATVI,0,20200505,093350,67.350000000,100
US1.ATVI,0,20200505,093355,67.330000000,100
US1.ATVI,0,20200505,093355,67.350000000,100
US1.ATVI,0,20200505,093357,67.360000000,100
US1.ATVI,0,20200505,093357,67.370000000,100
US1.ATVI,0,20200505,093358,67.375000000,100
US1.ATVI,0,20200505,093358,67.380000000,101
US1.ATVI,0,20200505,093358,67.380000000,100
US1.ATVI,0,20200505,093401,67.450000000,100
US1.ATVI,0,20200505,093401,67.450000000,100
US1.ATVI,0,20200505,093408,67.370000000,138
US1.ATVI,0,20200505,093416,67.300000000,200
US1.ATVI,0,20200505,093416,67.290000000,100
US1.ATVI,0,20200505,093416,67.290000000,100
US1.ATVI,0,20200505,093416,67.290000000,100
US1.ATVI,0,20200505,093416,67.280000000,100
US1.ATVI,0,20200505,093416,67.290000000,100
US1.ATVI,0,20200505,093419,67.250000000,100
